variable,gender,age_min,age_max,percentile,value
Weight,2,46,55,4,110.8218382
Weight,2,56,65,4,109.349152
Weight,2,66,79,4,110.5837392
Weight,2,80,99,4,99.98392624
Weight,1,0,18,4,16.975574
Weight,1,18,25,4,121.3863772
Weight,1,26,35,4,134.4377276
Weight,1,36,45,4,135.3548495
Weight,1,46,55,4,132.5946653
Weight,1,56,65,4,133.0885002
Weight,1,66,79,4,128.529346
Weight,1,80,99,4,123.7144559
Weight,2,0,18,4.1,15.19953213
Weight,2,18,25,4.1,100.3432793
Weight,2,26,35,4.1,107.8572856
Weight,2,36,45,4.1,112.656082
Weight,2,46,55,4.1,111.0674328
Weight,2,56,65,4.1,109.5094279
Weight,2,66,79,4.1,110.892386
Weight,2,80,99,4.1,100.0419077
Weight,1,0,18,4.1,17.15150268
Weight,1,18,25,4.1,122.0290239
Weight,1,26,35,4.1,135.2655624
Weight,1,36,45,4.1,135.7569722
Weight,1,46,55,4.1,132.718124
Weight,1,56,65,4.1,133.159048
Weight,1,66,79,4.1,128.6845512
Weight,1,80,99,4.1,124.0001747
Weight,2,0,18,4.2,15.211878
Weight,2,18,25,4.2,100.5637413
Weight,2,26,35,4.2,108.0144751
Weight,2,36,45,4.2,112.656082
Weight,2,46,55,4.2,111.4338407
Weight,2,56,65,4.2,109.569614
Weight,2,66,79,4.2,110.892386
Weight,2,80,99,4.2,100.1100305
Weight,1,0,18,4.2,17.196036
Weight,1,18,25,4.2,122.135948
Weight,1,26,35,4.2,136.4461364
Weight,1,36,45,4.2,136.1590949
Weight,1,46,55,4.2,132.816891
Weight,1,56,65,4.2,133.2282731
Weight,1,66,79,4.2,129.3335914
Weight,1,80,99,4.2,124.1800717
Weight,2,0,18,4.3,15.43234
Weight,2,18,25,4.3,100.690507
Weight,2,26,35,4.3,108.1716645
Weight,2,36,45,4.3,112.8518523
Weight,2,46,55,4.3,112.0661257
Weight,2,56,65,4.3,110.0336865
Weight,2,66,79,4.3,110.892386
Weight,2,80,99,4.3,100.2259935
Weight,1,0,18,4.3,17.22998715
Weight,1,18,25,4.3,122.1967955
Weight,1,26,35,4.3,136.465978
Weight,1,36,45,4.3,136.4977245
Weight,1,46,55,4.3,133.9950399
Weight,1,56,65,4.3,133.437271
Weight,1,66,79,4.3,129.6969128
Weight,1,80,99,4.3,124.3599687
Weight,2,0,18,4.4,15.58578155
Weight,2,18,25,4.4,100.751134
Weight,2,26,35,4.4,108.3288539
Weight,2,36,45,4.4,113.1640264
Weight,2,46,55,4.4,112.3359712
Weight,2,56,65,4.4,110.7900916
Weight,2,66,79,4.4,111.020254
Weight,2,80,99,4.4,100.3419565
