variable,gender,age_min,age_max,percentile,value
Height,2,26,35,3.3,58.9764098
Height,2,36,45,3.3,58.5827088
Height,2,46,55,3.3,57.78196034
Height,2,56,65,3.3,57.55845628
Height,2,66,79,3.3,57.57782637
Height,2,80,99,3.3,56.99058196
Height,1,0,18,3.3,35.6299405
Height,1,18,25,3.3,63.71023125
Height,1,26,35,3.3,63.51979808
Height,1,36,45,3.3,63.1496404
Height,1,46,55,3.3,62.95971904
Height,1,56,65,3.3,63.06806555
Height,1,66,79,3.3,62.18995484
Height,1,80,99,3.3,61.70987584
Height,2,0,18,3.4,34.7244282
Height,2,18,25,3.4,58.76184276
Height,2,26,35,3.4,58.98593736
Height,2,36,45,3.4,58.58318124
Height,2,46,55,3.4,57.8101887
Height,2,56,65,3.4,57.65735397
Height,2,66,79,3.4,57.66483429
Height,2,80,99,3.4,57.04255049
Height,1,0,18,3.4,35.65608225
Height,1,18,25,3.4,63.73318402
Height,1,26,35,3.4,63.5433414
Height,1,36,45,3.4,63.1496404
Height,1,46,55,3.4,63.06491594
Height,1,56,65,3.4,63.18806562
Height,1,66,79,3.4,62.3052305
Height,1,80,99,3.4,61.740742
Height,2,0,18,3.5,34.7637983
Height,2,18,25,3.5,58.7795593
Height,2,26,35,3.5,59.01400825
Height,2,36,45,3.5,58.66656711
Height,2,46,55,3.5,57.83841706
Height,2,56,65,3.5,57.70396817
Height,2,66,79,3.5,57.72660598
Height,2,80,99,3.5,57.10396784
Height,1,0,18,3.5,35.6693106
Height,1,18,25,3.5,63.75613679
Height,1,26,35,3.5,63.5433414
Height,1,36,45,3.5,63.1882231
Height,1,46,55,3.5,63.14019158
Height,1,56,65,3.5,63.2283806
Height,1,66,79,3.5,62.3228683
Height,1,80,99,3.5,61.7514113
Height,2,0,18,3.6,34.8031684
Height,2,18,25,3.6,58.7795593
Height,2,26,35,3.6,59.06837835
Height,2,36,45,3.6,58.71719706
Height,2,46,55,3.6,57.86664542
Height,2,56,65,3.6,57.75814143
Height,2,66,79,3.6,57.75388945
Height,2,80,99,3.6,57.16633008
Height,1,0,18,3.6,35.7086807
Height,1,18,25,3.6,63.77908956
Height,1,26,35,3.6,63.56271149
Height,1,36,45,3.6,63.2838137
Height,1,46,55,3.6,63.19090026
Height,1,56,65,3.6,63.24318376
Height,1,66,79,3.6,62.3228683
Height,1,80,99,3.6,61.7620806
Height,2,0,18,3.7,34.8425385
Height,2,18,25,3.7,58.80121286
Height,2,26,35,3.7,59.12452012
Height,2,36,45,3.7,58.7401892
Height,2,46,55,3.7,57.91570057
Height,2,56,65,3.7,57.7953068
Height,2,66,79,3.7,57.78117293
Height,2,80,99,3.7,57.22869232
Height,1,0,18,3.7,35.72852323
Height,1,18,25,3.7,63.779562
Height,1,26,35,3.7,63.58971938
Height,1,36,45,3.7,63.34326255
Height,1,46,55,3.7,63.21719949
Height,1,56,65,3.7,63.2677507
Height,1,66,79,3.7,62.32617539
Height,1,80,99,3.7,61.77487588
Height,2,0,18,3.8,34.87757789
Height,2,18,25,3.8,58.84648847
Height,2,26,35,3.8,59.17696109
Height,2,36,45,3.8,58.7401892
Height,2,46,55,3.8,57.96247224
Height,2,56,65,3.8,57.8041257
Height,2,66,79,3.8,57.80845641
Height,2,80,99,3.8,57.28475534
Height,1,0,18,3.8,35.8050587
Height,1,18,25,3.8,63.785625
Height,1,26,35,3.8,63.63672728
Height,1,36,45,3.8,63.39105785
Height,1,46,55,3.8,63.24349872
Height,1,56,65,3.8,63.26806566
Height,1,66,79,3.8,62.3549943
Height,1,80,99,3.8,61.80688377
Height,2,0,18,3.9,34.9212787
Height,2,18,25,3.9,58.90849638
Height,2,26,35,3.9,59.20503197
Height,2,36,45,3.9,58.76121283
Height,2,46,55,3.9,57.99070061
